id,line_id,station_1_id,station_2_id
SBC-HPK,CTR,SBC,HPK
PNR-NWH,MET,NWH,PNR
CPS-CPC,NOR,CPS,CPC
WHW-RYL,MET,RYL,WHW
MPK-CXY,MET,CXY,MPK
WIG-DOH,JUB,DOH,WIG
SVS-FPK,VIC,FPK,SVS
EMB-CHX,BKL,EMB,CHX
SWK-LNB,JUB,SWK,LNB
NGW-CGT,JUB,NGW,CGT
SSQ-SKS,CIR,SSQ,SKS
WSM-SJP,CIR,WSM,SJP
WRR-GDG,NOR,GDG,WRR
SUH-SHH,PIC,SHH,SUH
WHM-CGT,JUB,CGT,WHM
KSX-FCN,MET,KSX,FCN
WYP-KBY,JUB,KBY,WYP
SEA-ACT,PIC,SEA,ACT
WYP-FYR,MET,WYP,FYR
PRD-NKP,MET,NKP,PRD
TWH-ALD,CIR,ALD,TWH
HGT-EFY,NOR,HGT,EFY
SFB-RVP,DST,SFB,RVP
RKW-CYD,MET,CYD,RKW
EHM-BKG,DST,EHM,BKG
PSG-FBY,DST,PSG,FBY
PCC-GPK,PIC,GPK,PCC
HLT-FLP,CTR,FLP,HLT
LVT-ADE,HAC,LVT,ADE
TCR-HBN,CTR,TCR,HBN
SGN-MED,DST,SGN,MED
PAC-ERC,CIR,PAC,ERC
PAC-ERB,BKL,ERB,PAC
PCC-CHX,BKL,CHX,PCC
OAK-CKS,PIC,OAK,CKS
ICK-HGD,MET,HGD,ICK
WCY-EAN,CTR,EAN,WCY
VXL-PCO,VIC,VXL,PCO
WOG-TPN,PIC,TPN,WOG
